,ISO,Cost of Living Index
0,Bermuda,141.8
1,Switzerland,114.2
2,Cayman Islands,103.4
3,Bahamas,90.9
4,Barbados,88.8
5,Norway,88.6
6,Singapore,85.9
7,Iceland,83.3
8,Jersey,80.0
9,Denmark,78.6
10,Israel,76.4
11,Hong Kong,75.7
12,Australia,75.3
13,Luxembourg,73.2
14,New Zealand,72.9
15,United States,72.4
16,Guernsey,71.0
17,Ireland,70.5
18,"Korea, Republic of",70.4
19,Macao,68.8
20,France,68.7
21,Netherlands,68.6
22,Finland,67.5
23,Puerto Rico,67.0
24,Canada,66.1
25,Austria,66.0
26,Lebanon,65.8
27,Belgium,65.6
28,Japan,64.6
29,Germany,62.9
30,Sweden,62.9
31,Isle of Man,61.8
32,United Kingdom,61.5
33,Malta,61.4
34,Italy,61.3
35,United Arab Emirates,60.3
36,Uruguay,59.9
37,Qatar,59.5
38,Yemen,58.8
39,Cyprus,55.9
40,Brunei Darussalam,55.2
41,Maldives,55.0
42,Estonia,54.8
43,Greece,54.6
44,Taiwan,54.2
45,Jamaica,53.6
46,Trinidad and Tobago,53.3
47,Bahrain,52.7
48,Cuba,52.6
49,Latvia,50.9
50,Slovenia,50.8
51,"Palestine, State of",50.7
52,Spain,50.6
53,Saudi Arabia,50.6
54,Czechia,48.9
55,Costa Rica,48.8
56,Lithuania,48.8
57,Panama,48.2
58,Belize,48.0
59,Oman,47.8
60,Guyana,47.3
61,Kuwait,46.8
62,Jordan,46.8
63,Croatia,46.7
64,Senegal,46.4
65,Portugal,45.3
66,Cambodia,44.5
67,Slovakia,44.2
68,Chile,44.1
69,El Salvador,43.3
70,Ivory Coast,42.7
71,Ethiopia,42.3
72,Mauritius,42.2
73,Dominican Republic,41.8
74,"Venezuela, Bolivarian Republic of",41.6
75,Russian Federation,40.8
76,Armenia,40.8
77,Zimbabwe,40.8
78,Thailand,40.7
79,Bulgaria,40.5
80,Guatemala,40.2
81,Hungary,39.2
82,China,39.2
83,Georgia,38.9
84,Montenegro,38.9
85,Honduras,38.8
86,Poland,38.6
87,Fiji,38.5
88,South Africa,37.8
89,Albania,37.4
90,Romania,37.4
91,Mexico,37.3
92,Serbia,37.2
93,Nicaragua,36.8
94,Namibia,35.8
95,Viet Nam,35.7
96,Belarus,35.4
97,"Iran, Islamic Republic of",35.2
98,Bosnia and Herzegovina,35.1
99,Ecuador,35.1
100,Malaysia,35.0
101,Brazil,34.7
102,Botswana,34.4
103,Philippines,34.0
104,Cameroon,33.6
105,Myanmar,32.9
106,Peru,32.4
107,Kenya,32.4
108,"Moldova, Republic of",32.3
109,Uganda,32.1
110,"Bolivia, Plurinational State of",31.9
111,Iraq,31.4
112,North Macedonia,31.4
113,Mongolia,31.2
114,Argentina,31.2
115,Indonesia,31.2
116,Nigeria,30.9
117,"Tanzania, United Republic of",30.8
118,Rwanda,30.0
119,Morocco,29.3
120,Azerbaijan,28.9
121,Paraguay,28.6
122,Kosovo,28.4
123,Kazakhstan,28.1
124,Turkey,28.1
125,Algeria,27.6
126,Uzbekistan,27.0
127,Ghana,26.7
128,Bangladesh,26.6
129,Tunisia,26.5
130,Syrian Arab Republic,26.1
131,Kyrgyzstan,25.9
132,Ukraine,25.6
133,Sri Lanka,25.3
134,Nepal,24.8
135,Libya,24.2
136,Colombia,23.1
137,India,22.4
138,Egypt,21.6
139,Pakistan,18.0
