,Rank,Country,year_income,month_income,ISO,ISO_code,Currency
0,1,Monaco,186080,15507,Monaco,MCO,['EUR']
1,2,Bermuda,122470,10206,Bermuda,BMU,['BMD']
2,3,Switzerland,90600,7550,Switzerland,CHE,"['CHE', 'CHF', 'CHW']"
3,4,Luxembourg,88190,7349,Luxembourg,LUX,['EUR']
4,5,Norway,83880,6990,Norway,NOR,['NOK']
5,6,Ireland,76110,6343,Ireland,IRL,['EUR']
6,7,United States,70930,5911,United States,USA,"['USD', 'USN', 'USS']"
7,8,Denmark,68300,5692,Denmark,DNK,['DKK']
8,9,Singapore,64010,5334,Singapore,SGP,['SGD']
9,10,Iceland,63460,5288,Iceland,ISL,['ISK']
10,11,Qatar,62310,5193,Qatar,QAT,['QAR']
11,12,Sweden,59540,4962,Sweden,SWE,['SEK']
12,13,Australia,57170,4764,Australia,AUS,['AUD']
13,14,Netherlands,55200,4600,Netherlands,NLD,['EUR']
14,15,Hong Kong,54460,4538,Hong Kong,HKG,['HKD']
15,16,Finland,53510,4459,Finland,FIN,['EUR']
16,17,Austria,52760,4397,Austria,AUT,['EUR']
17,18,Germany,51660,4305,Germany,DEU,['EUR']
18,19,Belgium,50490,4208,Belgium,BEL,['EUR']
19,20,Israel,49290,4108,Israel,ISR,['ILS']
20,21,Canada,48310,4026,Canada,CAN,['CAD']
21,22,Macao,46450,3871,Macao,MAC,
22,23,New Zealand,45230,3769,New Zealand,NZL,['NZD']
23,24,United Kingdom,44480,3707,United Kingdom,GBR,['GBP']
24,25,France,44160,3680,France,FRA,['EUR']
25,26,Japan,42650,3554,Japan,JPN,['JPY']
26,27,United Arab Emirates,41770,3481,United Arab Emirates,ARE,['AED']
27,28,Italy,35990,2999,Italy,ITA,['EUR']
28,29,South Korea,35110,2926,"Korea, Republic of",KOR,
29,30,Brunei,30320,2527,Brunei Darussalam,BRN,
30,31,Spain,29690,2474,Spain,ESP,['EUR']
31,32,Portugal,23890,1991,Portugal,PRT,['EUR']
32,33,Bahrain,22950,1913,Bahrain,BHR,['BHD']
33,34,Saudi Arabia,21540,1795,Saudi Arabia,SAU,['SAR']
34,35,Greece,20000,1667,Greece,GRC,['EUR']
35,36,Hungary,17740,1478,Hungary,HUN,['HUF']
36,37,Croatia,17630,1469,Croatia,HRV,['HRK']
37,38,Poland,16850,1404,Poland,POL,['PLN']
38,39,Romania,14160,1180,Romania,ROU,['RON']
39,40,Costa Rica,12310,1026,Costa Rica,CRI,['CRC']
40,41,China,11880,990,China,CHN,['CNY']
41,42,Russia,11610,968,Russian Federation,RUS,['RUB']
42,43,Malaysia,10710,893,Malaysia,MYS,['MYR']
43,44,Argentina,9960,830,Argentina,ARG,['ARS']
44,45,Turkey,9900,825,Turkey,TUR,['TRY']
45,46,Mexico,9590,799,Mexico,MEX,['MXN']
46,47,Brazil,7740,645,Brazil,BRA,['BRL']
47,48,Thailand,7090,591,Thailand,THA,['THB']
48,49,South Africa,6530,544,South Africa,ZAF,['ZAR']
49,50,Colombia,6190,516,Colombia,COL,['COP']
50,51,Ecuador,5960,497,Ecuador,ECU,['USD']
51,52,Indonesia,4180,348,Indonesia,IDN,['IDR']
52,53,Ukraine,4120,343,Ukraine,UKR,['UAH']
53,54,Sri Lanka,4030,336,Sri Lanka,LKA,['LKR']
54,55,Morocco,3620,302,Morocco,MAR,['MAD']
55,56,Vietnam,3590,299,Viet Nam,VNM,
56,57,Philippines,3550,296,Philippines,PHL,['PHP']
57,58,Iran,3530,294,"Iran, Islamic Republic of",IRN,
58,59,Egypt,3350,279,Egypt,EGY,['EGP']
59,60,Bangladesh,2570,214,Bangladesh,BGD,['BDT']
60,61,India,2150,179,India,IND,['INR']
61,62,Nigeria,2080,173,Nigeria,NGA,['NGN']
62,63,Cameroon,1590,133,Cameroon,CMR,['XAF']
63,64,Cambodia,1580,132,Cambodia,KHM,['KHR']
64,65,Pakistan,1470,123,Pakistan,PAK,['PKR']
65,66,Nepal,1220,102,Nepal,NPL,['NPR']
66,67,Timor-Leste,1140,95,Timor-Leste,TLS,
67,68,Ethiopia,940,78,Ethiopia,ETH,['ETB']
68,69,Afghanistan,390,33,Afghanistan,AFG,['AFN']
