,Rank,Country,yearly_income,monthly_income,ISO,ISO_code,Currency
0,1,Monaco,186080.0,15507.0,Monaco,MCO,
1,2,Bermuda,122470.0,10206.0,Bermuda,BMU,
2,3,Switzerland,90600.0,7550.0,Switzerland,CHE,
3,4,Luxembourg,88190.0,7349.0,Luxembourg,LUX,
4,5,Norway,83880.0,6990.0,Norway,NOR,
5,6,Ireland,76110.0,6343.0,Ireland,IRL,
6,7,United States,70930.0,5911.0,United States,USA,
7,8,Denmark,68300.0,5692.0,Denmark,DNK,
8,9,Singapore,64010.0,5334.0,Singapore,SGP,
9,10,Iceland,63460.0,5288.0,Iceland,ISL,
10,11,Qatar,62310.0,5193.0,Qatar,QAT,
11,12,Sweden,59540.0,4962.0,Sweden,SWE,
12,13,Australia,57170.0,4764.0,Australia,AUS,
13,14,Netherlands,55200.0,4600.0,Netherlands,NLD,
14,15,Hong Kong,54460.0,4538.0,Hong Kong,HKG,
15,16,Finland,53510.0,4459.0,Finland,FIN,
16,17,Austria,52760.0,4397.0,Austria,AUT,
17,18,Germany,51660.0,4305.0,Germany,DEU,
18,19,Belgium,50490.0,4208.0,Belgium,BEL,
19,20,Israel,49290.0,4108.0,Israel,ISR,
20,21,Canada,48310.0,4026.0,Canada,CAN,
21,22,Macao,46450.0,3871.0,Macao,MAC,
22,23,New Zealand,45230.0,3769.0,New Zealand,NZL,
23,24,United Kingdom,44480.0,3707.0,United Kingdom,GBR,
24,25,France,44160.0,3680.0,France,FRA,
25,26,Japan,42650.0,3554.0,Japan,JPN,
26,27,United Arab Emirates,41770.0,3481.0,United Arab Emirates,ARE,
27,28,Italy,35990.0,2999.0,Italy,ITA,
28,29,South Korea,35110.0,2926.0,"Korea, Republic of",KOR,
29,30,Brunei,30320.0,2527.0,Brunei Darussalam,BRN,
30,31,Spain,29690.0,2474.0,Spain,ESP,
31,32,Portugal,23890.0,1991.0,Portugal,PRT,
32,33,Bahrain,22950.0,1913.0,Bahrain,BHR,
33,34,Saudi Arabia,21540.0,1795.0,Saudi Arabia,SAU,
34,35,Greece,20000.0,1667.0,Greece,GRC,
35,36,Hungary,17740.0,1478.0,Hungary,HUN,
36,37,Croatia,17630.0,1469.0,Croatia,HRV,
37,38,Poland,16850.0,1404.0,Poland,POL,
38,39,Romania,14160.0,1180.0,Romania,ROU,
39,40,Costa Rica,12310.0,1026.0,Costa Rica,CRI,
40,41,China,11880.0,990.0,China,CHN,
41,42,Russia,11610.0,968.0,Russian Federation,RUS,
42,43,Malaysia,10710.0,893.0,Malaysia,MYS,
43,44,Argentina,9960.0,830.0,Argentina,ARG,
44,45,Turkey,9900.0,825.0,Turkey,TUR,
45,46,Mexico,9590.0,799.0,Mexico,MEX,
46,47,Brazil,7740.0,645.0,Brazil,BRA,
47,48,Thailand,7090.0,591.0,Thailand,THA,
48,49,South Africa,6530.0,544.0,South Africa,ZAF,
49,50,Colombia,6190.0,516.0,Colombia,COL,
50,51,Ecuador,5960.0,497.0,Ecuador,ECU,
51,52,Indonesia,4180.0,348.0,Indonesia,IDN,
52,53,Ukraine,4120.0,343.0,Ukraine,UKR,
53,54,Sri Lanka,4030.0,336.0,Sri Lanka,LKA,
54,55,Algeria,3660.0,305.0,Algeria,DZA,
55,56,Morocco,3620.0,302.0,Morocco,MAR,
56,57,Vietnam,3590.0,299.0,Viet Nam,VNM,
57,58,Philippines,3550.0,296.0,Philippines,PHL,
58,59,Iran,3530.0,294.0,"Iran, Islamic Republic of",IRN,
59,60,Egypt,3350.0,279.0,Egypt,EGY,
60,61,Bangladesh,2570.0,214.0,Bangladesh,BGD,
61,62,India,2150.0,179.0,India,IND,
62,63,Nigeria,2080.0,173.0,Nigeria,NGA,
63,64,Cameroon,1590.0,133.0,Cameroon,CMR,
64,65,Cambodia,1580.0,132.0,Cambodia,KHM,
65,66,Pakistan,1470.0,123.0,Pakistan,PAK,
66,67,Nepal,1220.0,102.0,Nepal,NPL,
67,68,Timor-Leste,1140.0,95.0,Timor-Leste,TLS,
68,69,Afghanistan,390.0,33.0,Afghanistan,AFG,
